start_date,sample_size,population,candidate,approve,disapprove,total
2020-03-25,765,a,Trump,18,83,101
2020-03-26,948,rv,Trump,50,50,100
2020-03-26,1845,lv,Trump,45,55,100
2020-03-26,1057,a,Trump,44,55,99
2020-03-26,1213,lv,Trump,48,52,100
2020-03-26,600,a,Trump,43,33,76
2020-03-26,2300,a,Trump,88,12,100
2020-03-26,2560,a,Trump,52,48,100
2020-03-26,2800,a,Trump,25,74,99
2020-03-26,2300,a,Trump,49,51,100
2020-03-26,8000,a,Trump,53,47,100
2020-03-26,1017,rv,Trump,48,48,96
2020-03-27,2200,a,Trump,49,41,90
2020-03-27,694,a,Trump,85,11,96
2020-03-27,827,a,Trump,22,69,91
2020-03-27,679,a,Trump,48,38,86
2020-03-27,1997,rv,Trump,43,51,94
2020-03-27,651,rv,Trump,82,13,95
2020-03-27,770,rv,Trump,14,82,96
2020-03-27,1009,a,Trump,50,43,93
2020-03-27,1000,a,Trump,50,45,95
2020-03-27,1010,rv,Trump,48,48,96
2020-03-28,1505,a,Trump,44,51,95
2020-03-28,602,a,Trump,43,49,92
2020-03-28,2219,a,Trump,47,53,100
2020-03-29,1500,a,Trump,50,42,92
2020-03-29,1226,a,Trump,43,41,84
2020-03-30,1114,a,Trump,48,46,94
2020-03-30,1008,rv,Trump,48,49,97
2020-03-31,825,a,Trump,20,75,95
2020-03-31,683,a,Trump,42,45,87
2020-03-31,2236,a,Trump,51,49,100
2020-03-31,708,a,Trump,18,83,101
2020-03-31,703,a,Trump,52,48,100
2020-03-31,2200,a,Trump,48,45,93
2020-03-31,997,rv,Trump,47,49,96
2020-03-31,692,a,Trump,85,11,96
2020-04-01,1000,rv,Trump,47,44,91
2020-04-01,1003,rv,Trump,48,49,97
2020-04-02,1200,lv,Trump,45,55,100
2020-04-02,933,rv,Trump,49,51,100
2020-04-02,2077,rv,Trump,46,51,97
2020-04-02,706,rv,Trump,12,86,98
2020-04-02,644,rv,Trump,43,53,96
2020-04-02,1007,rv,Trump,48,48,96
2020-04-02,8000,a,Trump,45,48,93
2020-04-02,2300,a,Trump,80,16,96
2020-04-02,2800,a,Trump,20,74,94
2020-04-02,2300,a,Trump,32,47,79
2020-04-03,1000,a,Trump,50,44,94
