modelName,Q4 2023,Q4 2022,Year To Date,Year to Date Previous Year
Honda Ridgeline,"12,433","10,450","52,001","42,762"
Hyundai Accent,0,"2,524",31,"17,823"
Hyundai Elantra,"26,846","31,313","134,149","117,177"
Hyundai Ioniq,0,3,0,"3,672"
Hyundai Ioniq 5,"8,612","4,490","33,918","22,982"
Hyundai Ioniq 6,"4,681",0,"12,999",0
Hyundai Kona,"22,598","18,314","79,116","63,994"
Hyundai Nexo,68,63,241,408
Hyundai Palisade,"30,652","18,932","89,509","82,688"
Hyundai Santa Cruz,"7,592","9,677","36,675","36,480"
Hyundai Santa Fe,"35,412","33,460","131,574","115,226"
Hyundai Sonata,"8,003","19,893","40,655","52,140"
Hyundai Tuscon,"56,444","49,682","209,624","175,307"
Hyundai Veloster,0,127,6,"1,920"
Hyundai Venue,"5,140","7,489","28,009","27,094"
Infiniti Q50,"1,179",551,"6,201","4,780"
Infiniti Q60,124,206,"1,681","1,846"
Infiniti QX50,"2,788","2,556","9,940","11,105"
Infiniti QX55,"1,347","1,463","5,417","5,107"
Infiniti QX60,"6,959","6,243","29,381","16,574"
Infiniti QX80,"3,471","2,553","12,696","7,204"
Jaguar E-Pace,141,26,528,"1,059"
Jaguar F-Pace,"1,463","2,187","5,258","5,979"
Jaguar F-Type,261,291,"1,119","1,366"
Jaguar I-Pace,179,14,509,439
Jaguar XE,0,0,0,10
Jaguar XF,261,25,934,809
Jaguar XJ,0,0,0,6
Jeep Cherokee,"1,593","9,470","24,610","40,322"
Jeep Compass,"24,612","19,209","96,173","86,175"
Jeep Gladiator,"13,659","17,587","55,187","77,855"
Jeep Grand Cherokee,"61,724","50,800","244,597","223,344"
Jeep Grand Wagoneer,"2,483","2,282","9,946","11,735"
Jeep Renegade,"10,451","3,776","26,012","27,551"
Jeep Wagoneer,"8,266","5,943","29,150","36,221"
Jeep Wrangler,"28,940","34,253","155,491","181,410"
Karma GS-6,0,9,143,99
Karma Revero,0,4,56,49
Kia Cadenza,0,0,0,1
Kia Carnival,"10,514","2,355","43,687","17,075"
Kia EV6,"4,081","2,934","18,879","18,249"
Kia EV9,"1,118",0,"1,118",0
Kia Forte,"28,818","26,360","123,953","97,303"
Kia K5,"15,178","12,735","64,772","66,310"
Kia Niro,"7,215","10,033","36,300","29,176"
Kia Rio,"5,608","6,716","26,801","27,065"
Kia Sedona,0,"1,291",0,"2,905"
Kia Seltos,"12,994","13,529","60,053","44,897"
Kia Sorento,"20,999","21,806","88,645","87,147"
Kia Soul,"11,192","13,375","61,263","56,740"
Kia Sportage,"33,196","35,506","140,780","124,244"
Kia Stinger,80,"1,166","5,452","7,809"
Kia Telluride,"26,784","27,595","110,765","99,564"
Land Rover Defender,"7,755","4,839","21,212","15,733"
Land Rover Discovery / LR4,903,438,"2,416","1,488"
Land Rover Discovery Sport,577,"2,019","4,316","5,908"
Land Rover Range Rover,"4,706","5,223","15,989","12,999"
Land Rover Range Rover Evoque,848,"1,820","3,774","6,022"
Land Rover Range Rover Sport,"4,214","1,264","11,441","8,765"
Land Rover Range Rover Velar,"1,608","4,474","6,891","8,565"
Lexus ES,"10,176","9,093","39,117","41,465"
Lexus GS,0,0,0,2
Lexus GX,"10,418","7,479","31,910","29,945"
Lexus IS,"5,353","5,055","22,521","21,386"
Lexus LC,430,394,"1,761","1,387"
Lexus LS,509,690,"2,237","2,679"
Lexus LX,"1,685",933,"6,959","3,642"
Lexus NX,"22,841","17,351","74,526","49,002"
Lexus RC,438,698,"1,752","2,648"
Lexus RX,"30,542","15,742","114,033","96,041"
Lexus RZ,"2,875",0,"5,386",0
Lexus TX,"8,201",0,"8,201",0
Lexus UX,"2,472","2,387","11,846","10,237"
Lincoln Aviator,"5,875","5,281","15,551","21,977"
Lincoln Corsair / MKC,"6,901","7,391","24,384","27,668"
Lincoln MKX/Nautilus,"5,437","3,838","23,960","20,635"
Lincoln Navigator,"4,164","4,056","17,549","13,206"
Lucid Air,951,850,"3,142","1,949"
Mazda 3,"7,167","7,787","30,531","27,767"
Mazda 6,0,0,"1,690",335
Mazda CX-30,"17,773","15,421","77,075","52,808"
Mazda CX-5,"37,953","35,645","153,808","151,594"
Mazda CX-50,"12,876","7,953","44,595","21,329"
Mazda CX-70,0,0,0,0
Mazda CX-9,11,"11,111","17,451","34,580"
Mazda CX-90,"13,553",0,"29,121",0
Mazda CX-90P,0,0,"1,700",0
Mazda MX-30,0,0,100,324
Mazda MX-5 Miata,"1,404","1,600","8,973","6,172"
Mercedes-Benz A-Class,0,388,158,"5,831"
Mercedes-Benz AMG GT,0,550,"1,809","2,968"
Mercedes-Benz C-Class,0,"8,068","24,146","26,161"
Mercedes-Benz CLA-Class,0,"3,456","7,836","8,766"
Mercedes-Benz E / CLS-Class,0,"5,146","10,691","18,415"
Mercedes-Benz EQB,0,933,"6,673","1,672"
Mercedes-Benz EQE Sedan,0,384,"3,035",384
Mercedes-Benz EQE SUV,0,0,"6,016",0
Mercedes-Benz EQS SUV,0,"1,388","6,969","1,665"
Mercedes-Benz EQS-Sedan,0,"2,950","5,756","7,054"
Mercedes-Benz G-Class,0,"2,749","7,036","7,297"
Mercedes-Benz GL/GLS-Class,0,"2,995","15,340","20,577"
Mercedes-Benz GLA-Class,0,"5,517","11,849","14,086"
Mercedes-Benz GLB,0,"5,925","13,023","23,275"
Mercedes-Benz GLC/GLK-Class,0,"10,016","29,403","65,531"
Mercedes-Benz GLE-Class,0,"16,800","40,322","57,933"
Mercedes-Benz Metris,0,"5,475","20,902","17,656"
Mercedes-Benz S-Class,0,"4,551","10,122","15,056"
Mercedes-Benz SL-Class,0,"1,203","2,804","2,027"
Mercedes-Benz Sprinter,0,"10,000","30,913","46,533"
Mini Cooper,"6,429","6,566","20,974","20,012"
Mini Countryman,"4,299","3,753","12,523","9,488"
Mitsubishi Eclipse Cross,"2,280","2,357","9,922","10,717"
Mitsubishi Mirage,"3,876","3,053","13,220","15,814"
Mitsubishi Outlander,"8,980","10,461","42,503","40,940"
Mitsubishi Outlander PHEV,"1,578",828,"6,681","1,960"
Mitsubishi Outlander Sport,"2,894","4,056","15,016","16,374"
Nissan 350Z,152,0,152,0
Nissan 370Z,310,177,"1,619",262
Nissan Altima,"35,519","33,834","128,030","139,956"
Nissan Ariya,"3,764",201,"13,462",201
Nissan Armada,"3,466","3,294","21,184","11,923"
Nissan Frontier,"12,239","19,830","58,134","76,185"
Nissan GT-R,79,1,391,57
Nissan Kicks,"16,684","9,759","66,820","54,879"
Nissan Leaf,"1,347","3,127","7,149","12,026"
Nissan Maxima,982,"2,075","9,653","7,110"
Nissan Murano,"4,831","7,697","31,138","30,074"
Nissan NV,0,0,0,12
Nissan NV200,0,0,0,134
Nissan Pathfinder,"15,267","20,280","71,710","57,862"
Nissan Rogue,"60,368","56,345","271,458","186,481"
Nissan Sentra,"20,128","14,184","109,195","77,124"
Nissan Titan,"3,782","2,576","19,189","15,064"
Nissan Versa,"6,958","4,062","24,807","13,399"
Polestar Polestar 1,12,21,82,231
Polestar Polestar 2,"1,821","2,079","10,350","6,729"
Porsche 718,998,"1,059","4,098","3,485"
Porsche 911,"3,034","2,753","11,728","10,172"
Porsche Cayenne,"5,563","6,612","20,288","21,194"
Porsche Macan,"6,110","7,734","27,400","23,687"
Porsche Panamera,"1,040","1,261","4,197","4,226"
Porsche Taycan,"2,359","1,497","7,716","7,272"
Ram Pickup,"112,486","105,255","444,927","468,344"
Ram ProMaster,"21,323","18,906","81,663","60,937"
Ram ProMaster City,554,"5,713","12,887","15,914"
Rivian EDV 500,200,0,560,0
Rivian EDV700,"1,301","1,300","3,796","2,999"
Rivian R1S,"6,101",800,"23,437",800
Rivian R1T,"3,399","3,900","19,410","9,900"
Subaru Ascent,"13,662","17,682","60,543","63,704"
Subaru BRZ,827,915,"4,188","3,345"
Subaru CrossTrek,"44,561","39,798","159,193","155,142"
Subaru Forester,"46,221","34,691","152,566","114,096"
Subaru Impreza,"7,555","8,217","34,719","30,846"
Subaru Legacy,"5,888","5,446","25,509","22,605"
Subaru Outback,"38,933","41,858","161,812","147,262"
Subaru Solterra,"3,109",919,"8,872",919
Subaru WRX,"4,107","5,940","24,681","18,662"
Tesla Model 3,0,"57,600","173,501","195,698"
Tesla Model S,0,"8,800","22,500","90,473"
Tesla Model X,0,"9,800","17,501","24,099"
Tesla Model Y,0,"63,800","284,498","225,799"
Toyota 4Runner,"32,644","27,604","109,951","121,023"
Toyota Avalon,3,71,55,"12,215"
Toyota bZ4X,"2,843",985,"9,329","1,217"
Toyota C-HR,1,"1,828",777,"12,141"
Toyota Camry,"72,674","80,798","290,649","295,201"
Toyota Corolla,"66,677","50,660","232,369","222,216"
Toyota Corolla Cross,"14,930","19,145","64,090","56,666"
Toyota Crown,"6,009",0,"19,063",0
Toyota GR86,"2,341","2,305","11,078","11,996"
Toyota Grand Highlander,"23,660",0,"39,373",0
Toyota Highlander,"31,365","58,354","171,289","222,805"
Toyota Land Cruiser,1,4,6,48
Toyota Mirai,133,657,"2,737","2,094"
Toyota Prius,"10,162","9,911","35,816","33,352"
Toyota RAV4,"132,112","96,600","434,943","366,741"
Toyota Sequoia,"6,392","4,806","20,557","5,313"
Toyota Sienna,"6,594",0,"54,347","6,840"
Toyota Supra,555,"1,097","2,652","4,952"
Toyota Tacoma,"55,087","61,451","234,768","215,853"
Toyota Tundra,"32,497","29,727","125,185","104,404"
Toyota Venza,"7,820","10,552","29,907","33,683"
Volkswagen Arteon,508,237,"2,349","1,178"
Volkswagen Atlas,"19,349","3,375","60,859","43,900"
Volkswagen Atlas Sport,"10,789","1,992","34,814","24,666"
Volkswagen Golf,"2,520",321,"10,690","7,893"
Volkswagen ID.4,0,"4,056","9,758","15,128"
Volkswagen Jetta,"16,851","1,047","47,407","34,032"
Volkswagen Passat,0,0,0,"2,408"
Volkswagen Taos,"15,306","3,534","58,890","50,371"
Volkswagen Tiguan,"20,529","7,740","76,227","71,085"
Volvo 60-Series,"4,813","2,015","12,319","7,536"
Volvo 90-Series,393,417,"2,028","1,821"
Volvo C40,803,"1,403","6,589","3,780"
Volvo XC40,"8,515","6,739","28,143","18,558"
Volvo XC60,"10,552","10,428","39,702","36,181"
Volvo XC90,"11,500","8,820","39,920","34,101"
